Week_Ending,Region,Fact_Purchase,Plan_Purchase,Purchase_%,Fact_Revenue,Plan_Revenue,Revenue_%,Call_Rate_%,Response_Rate_%,Payment_Rate_%
2025-12-21,Total,39083,52859,=ROUND((C2/D2)*100,1),5169679,6941629,=ROUND((F2/G2)*100,1),85.2,42.5,34.5
2025-12-21,TR,10862,13788,=ROUND((C3/D3)*100,1),1137144,1398162,=ROUND((F3/G3)*100,1),94.3,35.2,48.2
2025-12-21,PL,6863,9654,=ROUND((C4/D4)*100,1),924199,1330940,=ROUND((F4/G4)*100,1),67.7,24.1,29.6
2025-12-21,IL,5441,6949,=ROUND((C5/D5)*100,1),852957,1032176,=ROUND((F5/G5)*100,1),75.6,27.5,23.4
2025-12-21,AE/AR/AB/SA,1967,3024,=ROUND((C6/D6)*100,1),259661,388537,=ROUND((F6/G6)*100,1),94.3,10.0,14.2
2025-12-21,FR,2538,3339,=ROUND((C7/D7)*100,1),319010,424508,=ROUND((F7/G7)*100,1),43.0,20.7,11.7
2025-12-21,IT,2275,3006,=ROUND((C8/D8)*100,1),312099,424462,=ROUND((F8/G8)*100,1),72.0,27.5,9.6
2025-12-21,RO,2398,3413,=ROUND((C9/D9)*100,1),269513,377618,=ROUND((F9/G9)*100,1),74.4,15.2,11.7
2025-12-21,DE/NL/CH/AT,1399,2016,=ROUND((C10/D10)*100,1),268065,399624,=ROUND((F10/G10)*100,1),76.3,7.4,9.6
2025-12-21,ES,1460,1993,=ROUND((C11/D11)*100,1),203153,284385,=ROUND((F11/G11)*100,1),84.3,6.3,8.5
2025-12-21,CZ/SK,898,1235,=ROUND((C12/D12)*100,1),133416,187373,=ROUND((F12/G12)*100,1),63.0,0.0,14.8
2025-12-21,RU,1182,1698,=ROUND((C13/D13)*100,1),180674,256949,=ROUND((F13/G13)*100,1),94.4,23.0,5.3
